cpg	snp	beta	stats	pvalue	FDR
CpG32	SNP962	0.178088587888512	42.2820409984423	1.4823595019291e-111	1.4823595019291e-106
CpG94	SNP700	-0.215347518196171	-18.4357277358116	1.76155374107998e-47	8.80776870539992e-43
CpG14	SNP578	-0.151716563924174	-16.7032277360351	9.16928052624552e-42	3.05642684208184e-37
CpG81	SNP690	0.105672347822167	13.4723935603608	5.23789274340163e-31	1.30947318585041e-26
CpG75	SNP589	0.0778137474707822	13.070988447168	1.11293488776634e-29	2.22586977553269e-25
CpG94	SNP703	0.139790059110507	12.558713107799	5.39076346591218e-28	8.98460577652029e-24
CpG39	SNP90	0.0874611923327438	12.5153915246311	7.47530924972414e-28	1.06790132138916e-23
CpG94	SNP726	-0.150731017574396	-12.2524624356834	5.41137217592002e-27	6.76421521990002e-23
CpG45	SNP691	-0.0692487521668922	-11.8012671100953	1.58299223866419e-25	1.75888026518243e-21
CpG25	SNP999	-0.0566783951526171	-10.1110405033839	3.56937362626714e-20	3.56937362626714e-16
CpG90	SNP475	-0.0818988903607045	-9.95834116067993	1.05278484483183e-19	9.57077131665298e-16
CpG6	SNP797	0.0650591476836571	9.74301333141335	4.7864923054758e-19	3.9887435878965e-15
CpG85	SNP608	-0.0690905269830573	-9.20622342309295	1.96530927222937e-17	1.51177636325336e-13
CpG25	SNP645	0.056901002794149	9.09723010521496	4.13178524610479e-17	2.87225380696262e-13
CpG17	SNP895	0.0689707066089716	9.09107357002302	4.30838071044393e-17	2.87225380696262e-13
CpG81	SNP691	0.0675916238897732	8.64255502607553	8.76799518422307e-16	5.47999699013942e-12
CpG45	SNP693	0.0468270310834651	7.38447319806162	2.6724405655598e-12	1.37669798551988e-08
CpG45	SNP694	-0.0468270310834651	-7.38447319806162	2.67244056555982e-12	1.37669798551988e-08
CpG75	SNP587	-0.1321203952865	-7.37156350321297	2.89106576959165e-12	1.37669798551988e-08
CpG75	SNP588	-0.1321203952865	-7.37156350321297	2.89106576959165e-12	1.37669798551988e-08
CpG75	SNP591	0.1321203952865	7.37156350321297	2.89106576959175e-12	1.37669798551988e-08
CpG45	SNP690	-0.0547744385456028	-6.98225321842649	2.97826851287715e-11	1.35375841494416e-07
CpG17	SNP635	-0.0685410497928983	-6.85369124359049	6.32452724601564e-11	2.74979445478941e-07
CpG22	SNP697	0.106104078599443	6.7587363071819	1.09684037485009e-10	4.41629118792054e-07
CpG70	SNP291	0.0516402732611574	6.75759776339209	1.10407279698013e-10	4.41629118792054e-07
CpG75	SNP220	0.153653396438774	6.67526298897113	1.77253824134822e-10	6.81745477441623e-07
CpG5	SNP914	-0.111794588845496	-6.63977747632098	2.17124716530367e-10	8.04165616779136e-07
CpG35	SNP14	0.0449312037575827	6.62257692932028	2.39503130824585e-10	8.55368324373519e-07
CpG67	SNP524	-0.0486199157127127	-6.49693839962755	4.87887593074218e-10	1.68237101060075e-06
CpG14	SNP356	-0.0603808996064638	-6.39741115655729	8.51848823934967e-10	2.83949607978322e-06
CpG5	SNP497	-0.0807681033549307	-6.38817419568374	8.96812275725472e-10	2.89294282492088e-06
CpG75	SNP182	-0.0454022311128905	-6.3665645517819	1.01129977388566e-09	3.16031179339268e-06
CpG29	SNP185	-0.0495759402382506	-6.31860478981522	1.31906047826998e-09	3.9971529644545e-06
CpG14	SNP362	-0.0612823151816474	-6.28806368428665	1.56113506788702e-09	4.59157372907948e-06
CpG84	SNP755	0.108876718285267	6.15908168485829	3.16124839204455e-09	9.03213826298443e-06
CpG75	SNP813	0.0542061568143711	6.09300747631578	4.52032150621294e-09	1.2494935267901e-05
CpG70	SNP914	-0.060630973820905	-6.088836319401	4.62312604912337e-09	1.2494935267901e-05
CpG75	SNP173	0.0587732129162799	6.07132379781102	5.08031012411354e-09	1.33692371687199e-05
CpG75	SNP91	0.0479641196650195	6.03636339532725	6.12925652974871e-09	1.57160423839711e-05
CpG33	SNP98	0.0390467823239133	5.9574420251002	9.337812694514e-09	2.3344531736285e-05
CpG70	SNP288	0.0470416936996327	5.84614615924115	1.67982601426998e-08	3.99958574826185e-05
CpG70	SNP289	0.0470416936996327	5.84614615924115	1.67982601426998e-08	3.99958574826185e-05
CpG11	SNP320	-0.0379546462813866	-5.790132203329	2.25086533241275e-08	5.23457054049476e-05
CpG75	SNP305	-0.0558082699119715	-5.76057008806795	2.62467993475714e-08	5.93503678296998e-05
